Session ID,OLX User ID,Category 1 Ads,Category 2 Ads
2f81b181e49dd41f,3160,0,0
61f5661086d907bc,7880,0,0
b0aded49e03ba898,14971,0,0
2f2e77b211edf3ba,3110,1,1
af506886084cccc,7228,0,0
5c9636b77324c9b8,7388,0,16
ebdfc349f4d40226,20084,0,0
4827ef35b0b00f85,5547,0,0
ea078321d750c5e2,19885,0,0
8323d46093ffcbc4,10803,0,0
948e44f921a13eb8,12445,0,0
674f5575a57026ed,8405,0,30
f9171ed1c90f5e9,21078,0,0
cde21301ff76eaf7,17530,0,0
b0ac9caa999fc72e,14966,0,0
26de6a95902e0626,2326,145,0
e118715deb2a8beb,19092,0,1
c837b5c2f3277bcd,17016,0,0
9de331cd59b109d5,13257,0,52
3ec025209cda2983,4606,0,0
28f1a1395d6e1810,2490,0,0
ec9928fba2fb1e43,20143,0,66
e969979d2c1ea2df,19806,0,4
265e3d41b386129b,2274,0,0
e5cdcd9337ada3df,19464,0,0
eabe74f29ec353da,19954,6,2
e586f43c71b73f3a,19425,0,43
d2e2a349339fe430,17933,355,0
77ebc415a6adb3db,9848,0,1
90471ada2e8d2ea,12136,0,2
f242803f558ebc03,20537,1,0
e9a6e9ca649bedf5,19832,0,10
74a6f9079f4aa5c9,9595,1,0
42cda9c261d2e7ce,5052,0,10
3e977c7a74168fa1,4585,0,0
2d330883a6912a79,2899,0,0
376d637de23914d7,3938,18,0
65c91f55a9b902b,8243,3,44
930581c560f55c67,12353,0,11
e8edb1af5a62b757,10046,0,0
5279a361c00c45d3,6472,16,18
23c688d9cc08bb2f,1985,0,2
7d3d44f1d525b2d,10234,0,0
da397d83791fc29,18559,0,0
10977723425ddc40,48,1,6
877b1985a0008740,11336,0,0
4d8c1403d219a815,6015,0,0
de9c94c422dc8189,18906,11,0
7b664e0a5f8f385b,3641,0,13
f3ca4545a944fb26,1803,0,3
5186f30cdf6ee8fc,6389,0,0
302262eb0c2edc50,3209,0,0
d15be47a65f60501,17789,0,0
2e4efbe7c20d7e1b,3037,0,0
f57edb7654dc75a1,20802,0,0
ea00e16188ec20c1,8268,0,0
bef5b81e937a8b9,16276,0,0
c0418ce53b78813b,16386,0,10
d30829cc742cbe39,17944,0,0
fcea176d2750a394,19954,6,2
ad6d09192e7fcecb,14679,0,0
5dac5d7e86ba64d3,7502,0,0
b2fbde188bfe28fc,15153,0,3
7312ccc60ec8e742,9480,0,0
af1a95300e65cfa1,14820,0,0
ebc961afaf47c1ec,20062,0,0
86a606f0b886a221,11275,0,5
13a6babaa39fe63b,351,0,0
90d2ee750c8c9112,12197,0,84
536796379017d265,6560,0,43
404577b5d3458c3b,4772,0,2
f9a307050689fb00,21120,0,0
970f8976e4bf2971,12654,1,1
ea170db179811cbc,19897,0,0
c02e45be528168ef,16378,0,0
8d5985cc8e14755,11916,0,24
bea577ab6f8f7625,16234,0,0
813f0ef4198b57cb,10608,15,0
7e7a5428fd30702a,10299,6,0
23c17ad0d99003a5,1982,4,0
5bcdbf4e84b4285e,7304,0,0
11b3a0ee0c9c1430,170,0,5
34683b9c02eb46ac,3612,0,0
4f64a006584c0536,6176,0,114
aeacc80b224cc8f4,14780,0,1
b3c9a3c0cc37186f,10837,0,0
7360d1c3be8995c1,9507,0,2
da6b2876dd19f9bd,3957,0,0
3bc1ab6b870b62ca,4355,40,0
48246240e932a1f,5541,0,0
2277dfb5ae77a76c,1862,0,4
a7562448d57d969c,14150,0,0
6136acb88baa8d28,7798,0,0
bf16362ff717c496,16294,1,6
8e9cf5942238d3d7,12030,0,0
6668fc2feb10ff9a,8312,0,0
66cf9cd14a49741,8342,12,0
5a34eb5da9fb6299,7216,0,0
e5b41356604cfa77,19438,1,0
9fe5e9ed84898c5b,13476,0,19
c5ee8e954b4ddb8e,16824,0,2
820325320c541db,10717,0,0
df939ff65e6f6f5c,18975,0,0
17a5030a5e293b08,739,34,0
1f53ab5dc8fc75f,1570,0,0
289d20499b547465,2464,0,3
